"(0.0, 0.0, 0.0)","(1.1429446935653687, 13.800000190734863, 1.0)"
"(0.0, 0.0, 0.0)","(1.1429446935653687, 13.800000190734863, 1.0)"
"(0.0, 0.0, 0.0)","(1.1429446935653687, 13.800000190734863, 0.9977049231529236)"
"(0.0, 0.0, 0.0)","(1.1429446935653687, 13.800000190734863, 0.9977049231529236)"
"(0.0, 0.0, 0.0)","(1.1429446935653687, 13.800000190734863, 0.9977049231529236)"
"(0.0, 0.0, 0.0)","(1.1429446935653687, 13.800000190734863, 0.9977049231529236)"
"(0.0, 0.0, 0.0)","(1.1429446935653687, 13.800000190734863, 0.9977049231529236)"
"(0.0, 0.0, 0.0)","(1.6206971406936646, 13.806354522705078, 0.9977045059204102)"
"(0.0, 0.0, 0.0)","(2.238783597946167, 13.81468677520752, 0.9977048635482788)"
"(0.0, 0.0, 0.0)","(2.852623701095581, 13.822968482971191, 0.9977049231529236)"
"(0.0, 0.0, 0.0)","(3.4622175693511963, 13.83120059967041, 0.9977049231529236)"
"(0.0, 0.0, 0.0)","(4.067564964294434, 13.839383125305176, 0.9977049231529236)"
"(0.0, 0.0, 0.0)","(4.668665885925293, 13.847515106201172, 0.9977049231529236)"
"(0.0, 0.0, 0.0)","(5.2655205726623535, 13.855597496032715, 0.9977049231529236)"
"(0.0, 0.0, 0.0)","(5.858129024505615, 13.863629341125488, 0.9977049231529236)"
"(0.0, 0.0, 0.0)","(6.446585655212402, 13.87160587310791, 0.9974584579467773)"
"(0.0, 0.0, 0.0)","(7.030615329742432, 13.879536628723145, 0.9976784586906433)"
"(0.0, 0.0, 0.0)","(7.610475063323975, 13.887418746948242, 0.9977020621299744)"
"(0.0, 0.0, 0.0)","(8.186097145080566, 13.895251274108887, 0.9977046251296997)"
"(0.0, 0.0, 0.0)","(8.75747299194336, 13.903033256530762, 0.9977048635482788)"
"(0.0, 0.0, 0.0)","(9.324603080749512, 13.910765647888184, 0.9977049231529236)"
"(0.0, 0.0, 0.0)","(9.887486457824707, 13.918447494506836, 0.9977049231529236)"
"(0.0, 0.0, 0.0)","(10.426473617553711, 13.925918579101562, 1.028145670890808)"
"(0.0, 0.0, 0.0)","(10.965461730957031, 13.933388710021973, 1.0476975440979004)"
"(0.0, 0.0, 0.0)","(11.504448890686035, 13.9408597946167, 1.0563604831695557)"
"(0.0, 0.0, 0.0)","(12.043436050415039, 13.94832992553711, 1.0541346073150635)"
"(0.0, 0.0, 0.0)","(12.582423210144043, 13.955801010131836, 1.0410197973251343)"
"(0.0, 0.0, 0.0)","(13.121410369873047, 13.963271141052246, 1.017016053199768)"
"(0.0, 0.0, 0.0)","(13.65378475189209, 13.970663070678711, 0.9990812540054321)"
"(0.0, 0.0, 0.0)","(14.175455093383789, 13.977926254272461, 0.9977049231529236)"
"(0.0, 0.0, 0.0)","(14.692342758178711, 13.985139846801758, 0.9975513815879822)"
"(0.0, 0.0, 0.0)","(15.204830169677734, 13.992302894592285, 0.9976884126663208)"
"(0.0, 0.0, 0.0)","(15.713119506835938, 13.999415397644043, 0.9977031350135803)"
"(0.0, 0.0, 0.0)","(16.217166900634766, 14.006477355957031, 0.9977047443389893)"
"(0.0, 0.0, 0.0)","(16.716968536376953, 14.013487815856934, 0.9977048635482788)"
"(0.0, 0.0, 0.0)","(17.2125244140625, 14.020447731018066, 0.9977049231529236)"
"(0.0, 0.0, 0.0)","(17.703832626342773, 14.027356147766113, 0.9977049231529236)"
"(0.0, 0.0, 0.0)","(18.187946319580078, 14.034188270568848, 1.0022879838943481)"
"(0.0, 0.0, 0.0)","(18.6636905670166, 14.04094123840332, 1.0104869604110718)"
"(0.0, 0.0, 0.0)","(19.139432907104492, 14.047694206237793, 1.007797122001648)"
"(0.0, 0.0, 0.0)","(19.61370277404785, 14.054429054260254, 0.9980013966560364)"
"(0.0, 0.0, 0.0)","(20.080020904541016, 14.061067581176758, 0.9977049231529236)"
"(0.0, 0.0, 0.0)","(20.541975021362305, 14.067652702331543, 0.9977049231529236)"
"(0.0, 0.0, 0.0)","(20.999685287475586, 14.074185371398926, 0.9977049231529236)"
"(0.0, 0.0, 0.0)","(21.453147888183594, 14.080666542053223, 0.9977049231529236)"
"(0.0, 0.0, 0.0)","(21.90236473083496, 14.087096214294434, 0.9977049231529236)"
"(0.0, 0.0, 0.0)","(22.347335815429688, 14.093473434448242, 0.9977049231529236)"
"(0.0, 0.0, 0.0)","(22.788068771362305, 14.099800109863281, 0.9976797103881836)"
"(0.0, 0.0, 0.0)","(23.22612190246582, 14.106135368347168, 0.9973502159118652)"
"(0.0, 0.0, 0.0)","(23.664045333862305, 14.112483024597168, 0.9975467920303345)"
"(0.0, 0.0, 0.0)","(24.10196876525879, 14.118830680847168, 0.9975090026855469)"
"(0.0, 0.0, 0.0)","(24.539892196655273, 14.125178337097168, 0.9975899457931519)"
"(0.0, 0.0, 0.0)","(24.977815628051758, 14.131525993347168, 0.9976750612258911)"
"(0.0, 0.0, 0.0)","(25.415739059448242, 14.137874603271484, 0.9977017045021057)"
"(0.0, 0.0, 0.0)","(25.853662490844727, 14.144222259521484, 0.9977045655250549)"
"(0.0, 0.0, 0.0)","(26.29158592224121, 14.150569915771484, 0.9977048635482788)"
"(0.0, 0.0, 0.0)","(26.729509353637695, 14.156917572021484, 0.9977049231529236)"
"(0.0, 0.0, 0.0)","(27.16743278503418, 14.163265228271484, 0.9977049231529236)"
"(0.0, 0.0, 0.0)","(27.605356216430664, 14.1696138381958, 0.9977049231529236)"
"(0.0, 0.0, 0.0)","(28.04327964782715, 14.1759614944458, 0.9977049231529236)"
"(0.0, 0.0, 0.0)","(28.481203079223633, 14.1823091506958, 0.9977049231529236)"
"(0.0, 0.0, 0.0)","(28.919126510620117, 14.1886568069458, 0.9977049231529236)"
"(0.0, 0.0, 0.0)","(29.356035232543945, 14.195006370544434, 1.0080355405807495)"
"(0.0, 0.0, 0.0)","(29.79294204711914, 14.20135498046875, 1.0074771642684937)"
"(0.0, 0.0, 0.0)","(30.229721069335938, 14.207703590393066, 0.9986463785171509)"
"(0.0, 0.0, 0.0)","(30.66370964050293, 14.214055061340332, 1.0161091089248657)"
"(0.0, 0.0, 0.0)","(31.09744644165039, 14.220405578613281, 1.025651454925537)"
"(0.0, 0.0, 0.0)","(31.53118324279785, 14.226757049560547, 1.0243048667907715)"
"(0.0, 0.0, 0.0)","(31.964920043945312, 14.233107566833496, 1.0120694637298584)"
"(0.0, 0.0, 0.0)","(32.398616790771484, 14.239457130432129, 0.9986600279808044)"
"(0.0, 0.0, 0.0)","(32.832271575927734, 14.245805740356445, 0.9977049231529236)"
"(0.0, 0.0, 0.0)","(33.2652473449707, 14.252154350280762, 1.0058672428131104)"
"(0.0, 0.0, 0.0)","(33.69805145263672, 14.258502960205078, 1.0062700510025024)"
"(0.0, 0.0, 0.0)","(34.13070297241211, 14.264851570129395, 0.9988090991973877)"
"(0.0, 0.0, 0.0)","(34.56153869628906, 14.271201133728027, 1.00857412815094)"
"(0.0, 0.0, 0.0)","(34.99182891845703, 14.27755069732666, 1.0143933296203613)"
"(0.0, 0.0, 0.0)","(35.422115325927734, 14.283900260925293, 1.0093237161636353)"
"(0.0, 0.0, 0.0)","(35.85210418701172, 14.290251731872559, 0.9995775818824768)"
"(0.0, 0.0, 0.0)","(36.280765533447266, 14.296405792236328, 1.0030006170272827)"
"(0.0, 0.0, 0.0)","(36.709171295166016, 14.302475929260254, 1.000346064567566)"
"(0.0, 0.0, 0.0)","(37.137474060058594, 14.308369636535645, 1.0022457838058472)"
"(0.0, 0.0, 0.0)","(37.565582275390625, 14.314221382141113, 1.001802921295166)"
"(0.0, 0.0, 0.0)","(37.993221282958984, 14.32007122039795, 0.9977049231529236)"
"(0.0, 0.0, 0.0)","(38.42035675048828, 14.325922012329102, 1.0013728141784668)"
"(0.0, 0.0, 0.0)","(38.84716033935547, 14.331772804260254, 1.0029995441436768)"
"(0.0, 0.0, 0.0)","(39.273681640625, 14.337623596191406, 0.9977049231529236)"
"(0.0, 0.0, 0.0)","(39.6997184753418, 14.343474388122559, 1.000801920890808)"
"(0.0, 0.0, 0.0)","(40.123775482177734, 14.349328994750977, 1.0221984386444092)"
"(0.0, 0.0, 0.0)","(40.54783630371094, 14.355183601379395, 1.0327061414718628)"
"(0.0, 0.0, 0.0)","(40.97189712524414, 14.361038208007812, 1.0323247909545898)"
