session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
61a5163b1d19f549c36e91fa,5eac84ff4efbe80ffd3962f1,RETURNED,2021-11-29 18:04:43.834000,,1859.195527,35,272,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61a5163d2db58e403d59cbef,5a5c0728ac5624000153f533,APPROVED,2021-11-29 18:04:45.633000,2021-11-29 18:07:06.574000,140.941,39,1034,5,99,2021-11-29 18:21:28.458000,68706EF5,United States,Mexico,DATA EXPIRED,English,United States,Male,DATA EXPIRED
61a51663425e63417cea99ae,5c56687227d2cd0001966c15,APPROVED,2021-11-29 18:05:26.090000,2021-11-29 18:09:01.228000,215.138,40,1403,1,100,2021-11-29 18:21:28.286000,68706EF5,United States,United States,Full-Time,English,United States,Male,No
61a516669b021a69390de777,5a1d9acffe645f0001ea09e9,APPROVED,2021-11-29 18:05:28.946000,2021-11-29 18:07:37.404000,128.458,28,761,7,99,2021-11-29 18:21:28.122000,68706EF5,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Male,No
61a5167fde5a6fb59e12f8d8,5fc4cf9f3582c1977e3dc88c,APPROVED,2021-11-29 18:15:40.432000,2021-11-29 18:18:20.403000,159.971,30,148,4,98,2021-11-29 18:21:25.902000,68706EF5,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
61a51686416a065d3f085678,613cb18edb7eb18d77d8d1e1,APPROVED,2021-11-29 18:05:58.089000,2021-11-29 18:08:42.580000,164.491,19,79,2,99,2021-11-29 18:21:28.039000,68706EF5,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Male,Yes
61a51686d35c9311425845c5,5e97049224933418f692908e,APPROVED,2021-11-29 18:05:58.632000,2021-11-29 18:12:57.510000,418.878,32,333,8,96,2021-11-29 18:21:27.946000,68706EF5,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
61a5168c9b021a69390de77c,5e0685ebb1f2220635807113,APPROVED,2021-11-29 18:06:04.401000,2021-11-29 18:14:16.423000,492.022,46,162,2,98,2021-11-29 18:21:27.856000,68706EF5,New Zealand,New Zealand,Full-Time,English,New Zealand,Male,No
61a5168cc1eb612530e31033,6171a40fa78f30bce9262352,APPROVED,2021-11-29 18:06:06.979000,2021-11-29 18:07:27.929000,80.95,22,261,1,100,2021-11-29 18:21:27.751000,68706EF5,United States,United States,Full-Time,English,United States,Male,No
61a5169af9ba757516d8b151,607ca3c72af2cdc3ed687a7e,ACTIVE,2021-11-29 18:06:23.230000,,1760.037102,19,154,2,97,,,United States,United States,Due to start a new job within the next month,English,United States,Male,Yes
61a5169c82ac99a6a9b823f2,5cf15ba06626720016e91e43,APPROVED,2021-11-29 18:06:24.011000,2021-11-29 18:08:29.077000,125.066,20,251,1,100,2021-11-29 18:21:27.660000,68706EF5,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,Yes
61a516a21f14906344d987be,5f71f7bb8a7dbd0a139be181,APPROVED,2021-11-29 18:06:28.109000,2021-11-29 18:09:06.185000,158.076,21,196,1,100,2021-11-29 18:21:27.578000,68706EF5,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
61a516aafb2857a1830dda04,5ec4ae36faf405398617680d,APPROVED,2021-11-29 18:08:44.262000,2021-11-29 18:10:56.617000,132.355,25,106,0,100,2021-11-29 18:21:26.217000,68706EF5,United Kingdom,United Kingdom,Other,English,United Kingdom,Male,Yes
61a516ad2b3cb646cc80896a,600c27a4685f792d0bca05ae,APPROVED,2021-11-29 18:06:37.555000,2021-11-29 18:12:49.162000,371.607,23,94,0,100,2021-11-29 18:21:27.483000,68706EF5,South Africa,South Africa,Other,English,South Africa,Male,Yes
61a516ae82ac99a6a9b823f6,5f4cc54c57230502cd1ec6a5,APPROVED,2021-11-29 18:06:42.842000,2021-11-29 18:12:02.578000,319.736,49,323,1,100,2021-11-29 18:21:27.274000,68706EF5,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
61a516af509b51383968d187,6113d05ff415bab1824688e3,APPROVED,2021-11-29 18:06:41.518000,2021-11-29 18:09:01.952000,140.434,23,82,0,100,2021-11-29 18:21:27.378000,68706EF5,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
61a516bf99bcb1d22ef92ad4,60b7642b02fb4d20a882a53b,APPROVED,2021-11-29 18:14:21.622000,2021-11-29 18:30:04.383000,942.761,26,77,1,100,2021-11-29 18:30:04.486000,Manual Completion,South Africa,South Africa,DATA EXPIRED,English,South Africa,Male,No
61a516cd3f6f0b26e0e9b024,5bb1cbfd83eb53000195e68e,APPROVED,2021-11-29 18:07:37.356000,2021-11-29 18:15:06.235000,448.879,33,255,0,100,2021-11-29 18:21:26.875000,68706EF5,Canada,Canada,DATA EXPIRED,English,Canada,Male,DATA EXPIRED
61a516d3085d8afbcb83e0b5,610b274ce502b69b03ee5603,APPROVED,2021-11-29 18:07:21.395000,2021-11-29 18:12:24.729000,303.334,22,47,0,100,2021-11-29 18:21:27.122000,68706EF5,Canada,Canada,Part-Time,English,Canada,Female,Yes
61a516dcc6db540b04606c62,5f702dfd68dfbf000da79ada,APPROVED,2021-11-29 18:07:26.573000,2021-11-29 18:13:25.588000,359.015,25,270,1,100,2021-11-29 18:21:27.040000,68706EF5,Nigeria,United Kingdom,Part-Time,English,Nigeria,Male,Yes
61a516df1bedf57dd7d06ed7,5fc3ce366a0a553fcaf30cd9,APPROVED,2021-11-29 18:07:27.994000,2021-11-29 18:10:58.064000,210.07,19,165,2,99,2021-11-29 18:21:26.954000,68706EF5,India,Chile,DATA EXPIRED,English,India,Male,DATA EXPIRED
61a516e1bbdce5b1fd7fc833,602d2adcef81ce6b843da09b,APPROVED,2021-11-29 18:07:58.089000,2021-11-29 18:11:22.963000,204.874,18,59,0,100,2021-11-29 18:21:26.704000,68706EF5,South Africa,South Africa,Other,English,South Africa,Male,Yes
61a516f48d41ce8e5dea04cf,5fc4ccad30dfe74aa285cafd,APPROVED,2021-11-29 18:07:52.888000,2021-11-29 18:14:59.469000,426.581,,59,0,100,2021-11-29 18:21:26.789000,68706EF5,India,South Africa,Full-Time,English,India,Male,No
61a5170ca66bdf4d93051637,597c6cdf21db3a0001418541,APPROVED,2021-11-29 18:08:23.395000,2021-11-29 18:11:25.537000,182.142,64,760,11,98,2021-11-29 18:21:26.500000,68706EF5,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Male,DATA EXPIRED
61a5170f077cc150787ec001,61070046ab7f0ed17a2f9590,APPROVED,2021-11-29 18:08:15.682000,2021-11-29 18:19:49.050000,693.368,27,102,0,100,2021-11-29 18:21:26.621000,68706EF5,Canada,Canada,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,Canada,Male,No
61a5171ab10c09f46d52eff2,614e1f0d72b5f46d5946f4cf,APPROVED,2021-11-29 18:08:29.910000,2021-11-29 18:12:08.586000,218.676,18,56,1,98,2021-11-29 18:21:26.396000,68706EF5,India,United Kingdom,Other,English,India,Male,Yes
61a5172875c41ce91b108f8d,5c010b0befcd35000140e3dc,APPROVED,2021-11-29 18:08:42.412000,2021-11-29 18:13:25.764000,283.352,54,537,4,99,2021-11-29 18:21:26.297000,68706EF5,Germany,United Kingdom,DATA EXPIRED,English,United Kingdom,Male,No
61a51739c1eb612530e31048,5cfe3c8693f7170019939763,APPROVED,2021-11-29 18:09:03.723000,2021-11-29 18:11:56.164000,172.441,53,218,1,100,2021-11-29 18:21:26.128000,68706EF5,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Male,DATA EXPIRED
61a51847055644e4e1ea1870,5b5a0ed1e56aea000118ad3a,APPROVED,2021-11-29 18:13:55.274000,2021-11-29 18:16:25.341000,150.067,27,496,3,100,2021-11-29 18:21:26.036000,68706EF5,United Kingdom,Ireland,Due to start a new job within the next month,English,United Kingdom,Female,No
