session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
615642c89b627e66347be219,6154532ab6e4e674ae6359b2,RETURNED,2021-09-30 23:05:54.409000,,506088.903142,28,8,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
615642cafe09a69fdedf100d,613a9c2153379fe7b9cb1ae4,RETURNED,2021-09-30 23:16:00.068000,,505483.262982,23,9,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
615642d2881e831dd44773df,6152d9540debe09d03ae991c,TIMED-OUT,2021-09-30 23:05:59.378000,,506083.969602,25,5,0,100,,,DATA EXPIRED,South Africa,DATA EXPIRED,DATA EXPIRED,English,South Africa,Male,DATA EXPIRED
615642d543f0b5c0e8b7e0dd,614e50434a52da975ed59234,APPROVED,2021-09-30 23:06:01.724000,2021-09-30 23:25:11.138000,1149.414,22,24,0,100,2021-10-01 17:04:58.607000,875B6695,United States,United States,Full-Time,English,English,United States,Male,No
61564310e0fd39d40ecff04f,6155f48a311e8ebac5f15683,APPROVED,2021-09-30 23:06:58.751000,2021-09-30 23:23:46.293000,1007.542,23,4,0,100,2021-10-01 16:59:21.846000,875B6695,Mexico,Mexico,Other,Spanish,"Spanish, English",Mexico,Female,Yes
6156431dcbd9b0f1fbcaed9a,6154d3944980f4d6f10b3d70,APPROVED,2021-09-30 23:07:20.540000,2021-09-30 23:26:56.416000,1175.876,21,9,0,100,2021-10-01 16:59:40.227000,875B6695,United States,Mexico,Part-Time,Spanish,"Spanish, English",Mexico,Female,Yes
6156433bf45954c41d05df6c,6154737cf4536cd2ff630425,APPROVED,2021-09-30 23:07:44.634000,2021-09-30 23:28:21.531000,1236.897,24,9,0,100,2021-10-01 16:59:45.064000,875B6695,Mexico,Mexico,Full-Time,Spanish,"English, Spanish",Mexico,Male,No
61564358eccf3e72530c2011,6148d3c3a0482ae52f0e5708,APPROVED,2021-09-30 23:08:15.639000,2021-10-01 00:20:45.331000,4349.692,24,6,0,100,2021-10-01 17:05:17.582000,875B6695,Mexico,Mexico,Full-Time,Spanish,"Chinese, English, French, Greek, Spanish",Mexico,Male,Yes
6156435be79da185c434829f,61538e8f290de7ef8eb30366,APPROVED,2021-09-30 23:09:12.146000,2021-09-30 23:29:12.200000,1200.054,27,6,0,100,2021-10-01 17:00:38.380000,875B6695,Mexico,Mexico,Part-Time,Spanish,"Spanish, English",Mexico,Female,No
6156435f36a92c7cfc36146b,613a4c107aa06a1c3d00b6c2,APPROVED,2021-09-30 23:08:25.187000,2021-09-30 23:18:13.160000,587.973,18,11,0,100,2021-10-01 17:06:13.551000,NOCODE,Spain,Spain,Unemployed (and job seeking),Spanish,"English, Spanish",Spain,Male,Yes
