,jspsychID,trial_num,stimulus,time_elapse,causal_rating,cause_rt,animacy_rating,anim_rt,trial_rt,time_elapse.1,subject_id,vid_num,ball A,outcome,cf
35,mh46p2b523yy1qu,36,10_p_in_in.mp4,594791.0,52,5402.0,1,7927.5999999996275,8637.5,594791.0,7,10,inanimate,in,in
36,mh46p2b523yy1qu,37,18_a_out_out.mp4,608310.0,1,9985.5,100,11206.400000000373,11763.800000000743,608310.0,7,18,animate,out,out
37,mh46p2b523yy1qu,38,15_a_out_out.mp4,619913.0,25,9466.200000001118,100,10515.10000000149,11097.900000000373,619913.0,7,15,animate,out,out
38,mh46p2b523yy1qu,39,15_p_out_out.mp4,631966.0,29,4716.299999998882,10,9534.799999998882,10549.0,631966.0,7,15,inanimate,out,out
39,mh46p2b523yy1qu,40,10_a_in_in.mp4,643291.0,13,6902.0,77,8959.10000000149,9570.300000000743,643291.0,7,10,animate,in,in
40,mh46p2b523yy1qu,41,19_p_out_in.mp4,655212.0,86,9763.89999999851,7,10622.0,11159.199999999257,655212.0,7,19,inanimate,out,in
41,mh46p2b523yy1qu,42,13_a_out_out.mp4,665379.0,100,5416.800000000745,100,7895.800000000745,8411.800000000745,665379.0,7,13,animate,out,out
42,mh46p2b523yy1qu,43,16_p_out_out.mp4,688938.0,85,9068.400000000373,39,21051.0,21542.0,688938.0,7,16,inanimate,out,out
43,mh46p2b523yy1qu,44,22_p_out_in.mp4,703505.0,53,9554.900000000373,3,11941.900000000373,12557.199999999257,703505.0,7,22,inanimate,out,in
44,mh46p2b523yy1qu,45,24_p_out_in.mp4,712251.0,16,5200.099999999628,5,7640.900000000372,8483.799999998882,712251.0,7,24,inanimate,out,in
45,mh46p2b523yy1qu,46,22_a_out_in.mp4,728043.0,82,11050.699999999257,100,12659.699999999257,14025.900000000373,728043.0,7,22,animate,out,in
46,mh46p2b523yy1qu,47,04_a_in_out.mp4,745780.0,86,10366.699999999257,100,15774.599999999627,17234.599999999627,745780.0,7,4,animate,in,out
47,mh46p2b523yy1qu,48,17_a_out_out.mp4,754435.0,1,4834.9000000003725,100,5961.199999999255,6807.5,754435.0,7,17,animate,out,out
48,bht4czhyag645lg,1,02_p_in_out.mp4,89978.0,100,23199.900000035763,100,24866.5,25487.80000001192,89978.0,8,2,inanimate,in,out
49,bht4czhyag645lg,2,20_a_out_in.mp4,104776.0,1,11023.19999998808,100,12363.099999964235,13030.099999964235,104776.0,8,20,animate,out,in
50,bht4czhyag645lg,3,03_a_in_out.mp4,117438.0,100,9331.19999998808,100,10579.19999998808,11155.19999998808,117438.0,8,3,animate,in,out
51,bht4czhyag645lg,4,12_a_in_in.mp4,127832.0,1,6897.0,100,8467.0,9138.900000035765,127832.0,8,12,animate,in,in
52,bht4czhyag645lg,5,15_p_out_out.mp4,147170.0,1,16253.900000035765,1,18160.0,18835.0,147170.0,8,15,inanimate,out,out
53,bht4czhyag645lg,6,07_p_in_in.mp4,164397.0,1,12195.5,1,14900.600000023842,15474.400000035765,164397.0,8,7,inanimate,in,in
54,bht4czhyag645lg,7,12_p_in_in.mp4,174622.0,1,7627.199999988079,1,9298.399999976158,9965.19999998808,174622.0,8,12,inanimate,in,in
55,bht4czhyag645lg,8,13_p_out_out.mp4,192724.0,100,9850.80000001192,1,17063.80000001192,17849.899999976158,192724.0,8,13,inanimate,out,out
56,bht4czhyag645lg,9,23_p_out_in.mp4,210137.0,100,14407.30000001192,1,15796.30000001192,16405.30000001192,210137.0,8,23,inanimate,out,in
57,bht4czhyag645lg,10,10_p_in_in.mp4,235950.0,1,5712.300000011921,1,10523.5,24804.5,235950.0,8,10,inanimate,in,in
58,bht4czhyag645lg,11,07_a_in_in.mp4,248200.0,1,6718.399999976158,100,10104.5,10746.399999976158,248200.0,8,7,animate,in,in
59,bht4czhyag645lg,12,04_p_in_out.mp4,279624.0,100,26880.89999997616,1,28623.89999997616,29670.80000001192,279624.0,8,4,inanimate,in,out
60,bht4czhyag645lg,13,24_a_out_in.mp4,291531.0,100,9743.80000001192,100,3933.699999988079,10652.80000001192,291531.0,8,24,animate,out,in
61,bht4czhyag645lg,14,01_a_in_out.mp4,298964.0,100,4862.700000047684,100,5826.600000023842,6416.700000047684,298964.0,8,1,animate,in,out
62,bht4czhyag645lg,15,10_a_in_in.mp4,308751.0,1,5902.200000047684,100,7062.0,7784.200000047684,308751.0,8,10,animate,in,in
63,bht4czhyag645lg,16,22_a_out_in.mp4,322092.0,1,10716.799999952316,100,11891.0,12587.899999976158,322092.0,8,22,animate,out,in
64,bht4czhyag645lg,17,18_a_out_out.mp4,340955.0,1,16546.80000001192,100,18018.69999998808,18608.69999998808,340955.0,8,18,animate,out,out
65,bht4czhyag645lg,18,16_a_out_out.mp4,347594.0,1,4413.599999964237,100,5834.800000011921,6386.699999988079,347594.0,8,16,animate,out,out
66,bht4czhyag645lg,19,09_p_in_in.mp4,355539.0,100,5074.699999988079,1,6201.599999964237,6941.699999988079,355539.0,8,9,inanimate,in,in
67,bht4czhyag645lg,20,09_a_in_in.mp4,371398.0,100,4631.199999988079,100,14739.099999964235,15356.19999998808,371398.0,8,9,animate,in,in
68,bht4czhyag645lg,21,23_a_out_in.mp4,385540.0,100,10759.399999976158,100,12305.399999976158,12883.30000001192,385540.0,8,23,animate,out,in
69,bht4czhyag645lg,22,14_a_out_out.mp4,403883.0,21,16135.19999998808,100,11511.299999952316,16836.19999998808,403883.0,8,14,animate,out,out
70,bht4czhyag645lg,23,14_p_out_out.mp4,416272.0,80,6605.600000023842,10,10094.600000023842,10625.5,416272.0,8,14,inanimate,out,out
71,bht4czhyag645lg,24,17_a_out_out.mp4,428287.0,1,10732.599999964235,100,3064.699999988079,11507.599999964235,428287.0,8,17,animate,out,out
72,bht4czhyag645lg,25,08_a_in_in.mp4,443552.0,1,8837.5,82,11658.599999964235,13262.5,443552.0,8,8,animate,in,in
